event_id,session_id,timestamp,action_type,content
100109_2019_891311617,100109,1998-03-31 02:33:37,RATE,"{""movie_id"": 2019, ""movie_title"": ""Seven Samurai (Shichinin no samurai) (1954)"", ""rating"": 3.0, ""system_rating"": 4.20531054425866}"
100336_2571_1554667050,100336,2019-04-07 19:57:30,RATE,"{""movie_id"": 2571, ""movie_title"": ""Matrix, The (1999)"", ""rating"": 4.0, ""system_rating"": 4.21001449633249}"
100336_61240_1554668031,100336,2019-04-07 20:13:51,RATE,"{""movie_id"": 61240, ""movie_title"": ""Let the Right One In (L\u00e5t den r\u00e4tte komma in) (2008)"", ""rating"": 4.5, ""system_rating"": 4.52728661852276}"
100336_49530_1554668203,100336,2019-04-07 20:16:43,RATE,"{""movie_id"": 49530, ""movie_title"": ""Blood Diamond (2006)"", ""rating"": 4.0, ""system_rating"": 4.09043029508915}"
100397_160_946839357,100397,2000-01-02 18:55:57,RATE,"{""movie_id"": 160, ""movie_title"": ""Congo (1995)"", ""rating"": 3.0, ""system_rating"": 2.28079075689399}"
100397_260_946839357,100397,2000-01-02 18:55:57,RATE,"{""movie_id"": 260, ""movie_title"": ""Star Wars: Episode IV - A New Hope (1977)"", ""rating"": 5.0, ""system_rating"": 3.81110298419158}"
100397_260_946839357,100397,2000-01-02 18:55:57,RATE,"{""movie_id"": 260, ""movie_title"": ""Star Wars: Episode IV - A New Hope (1977)"", ""rating"": 5.0, ""system_rating"": 3.82472173857979}"
100397_3052_946839471,100397,2000-01-02 18:57:51,RATE,"{""movie_id"": 3052, ""movie_title"": ""Dogma (1999)"", ""rating"": 4.0, ""system_rating"": 3.03586497417049}"
100397_3052_946839471,100397,2000-01-02 18:57:51,RATE,"{""movie_id"": 3052, ""movie_title"": ""Dogma (1999)"", ""rating"": 4.0, ""system_rating"": 3.03034427462536}"
100397_3052_946839471,100397,2000-01-02 18:57:51,RATE,"{""movie_id"": 3052, ""movie_title"": ""Dogma (1999)"", ""rating"": 4.0, ""system_rating"": 3.01049416908875}"
100397_223_946839481,100397,2000-01-02 18:58:01,RATE,"{""movie_id"": 223, ""movie_title"": ""Clerks (1994)"", ""rating"": 4.0, ""system_rating"": 3.19093663589333}"
100397_223_946839481,100397,2000-01-02 18:58:01,RATE,"{""movie_id"": 223, ""movie_title"": ""Clerks (1994)"", ""rating"": 4.0, ""system_rating"": 3.14521996130288}"
100397_223_946839481,100397,2000-01-02 18:58:01,RATE,"{""movie_id"": 223, ""movie_title"": ""Clerks (1994)"", ""rating"": 4.0, ""system_rating"": 3.22247746652642}"
100397_2916_946839569,100397,2000-01-02 18:59:29,RATE,"{""movie_id"": 2916, ""movie_title"": ""Total Recall (1990)"", ""rating"": 5.0, ""system_rating"": 3.30477620949811}"
100397_2916_946839569,100397,2000-01-02 18:59:29,RATE,"{""movie_id"": 2916, ""movie_title"": ""Total Recall (1990)"", ""rating"": 5.0, ""system_rating"": 3.33387758469675}"
100397_2916_946839569,100397,2000-01-02 18:59:29,RATE,"{""movie_id"": 2916, ""movie_title"": ""Total Recall (1990)"", ""rating"": 5.0, ""system_rating"": 3.32941563376108}"
100397_158_946839609,100397,2000-01-02 19:00:09,RATE,"{""movie_id"": 158, ""movie_title"": ""Casper (1995)"", ""rating"": 2.0, ""system_rating"": 2.438085472619}"
