"session_id","event_id","timestamp","action_type","content","query","query_index","data_type","serp_results","num_results","url","title","doc_index","click_position"
"1035_1","1035_1_qq-0","2006-03-01 13:49:07","QUERY","family.org","family.org","q-0","0","","","","","",""
"1035_1","1035_1_qq-0_serp","2006-03-01 13:49:07","SERP_VIEW","Viewed 10 results: family org, combs families org, your family org (+7 more)","family.org","q-0","0","[{""doc_index"": ""d-926666"", ""url"": ""http://family.org"", ""title"": ""family org""}, {""doc_index"": ""d-135426"", ""url"": ""http://combs-families.org"", ""title"": ""combs families org""}, {""doc_index"": ""d-506247"", ""url"": ""http://www.yourfamily.org"", ""title"": ""your family org""}, {""doc_index"": ""d-747730"", ""url"": ""http://www.familyhistory.org"", ""title"": ""family history org""}, {""doc_index"": ""d-264465"", ""url"": ""http://rhodesfamily.org"", ""title"": ""rhodes family org""}, {""doc_index"": ""d-806"", ""url"": ""http://familydoctor.org"", ""title"": ""family doctor org""}, {""doc_index"": ""d-312058"", ""url"": ""http://krafftfamily.org"", ""title"": ""krafft family org""}, {""doc_index"": ""d-449573"", ""url"": ""http://informedfamilies.org"", ""title"": ""informed families org""}, {""doc_index"": ""d-1098"", ""url"": ""http://www.family.org"", ""title"": ""www family org""}, {""doc_index"": ""d-14429"", ""url"": ""http://www.mediafamily.org"", ""title"": ""media family org""}]","10.0","","","",""
"1035_1","1035_1_qq-0_cd-1098","2006-03-01 13:49:07","CLICK","www family org","family.org","q-0","0","","","http://www.family.org","www family org","d-1098","8.0"
"1035_10","1035_10_qq-1","2006-03-08 19:50:37","QUERY","diaryland","diaryland","q-1","0","","","","","",""
"1035_10","1035_10_qq-1_serp","2006-03-08 19:50:37","SERP_VIEW","Viewed 10 results: diary land members area, diary land members area, diary land members area (+7 more)","diaryland","q-1","0","[{""doc_index"": ""d-440399"", ""url"": ""http://groovy-decay.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-562364"", ""url"": ""http://secretus.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-944748"", ""url"": ""http://missprint.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-46840"", ""url"": ""http://fsdesigns.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-62632"", ""url"": ""http://bratzfanlist.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-487601"", ""url"": ""http://vjkao.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-367856"", ""url"": ""http://gothamite.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-668743"", ""url"": ""http://painguin14.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-310799"", ""url"": ""http://xtremex.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-1099"", ""url"": ""http://www.diaryland.com"", ""title"": ""diary land members area""}]","10.0","","","",""
"1035_10","1035_10_qq-1_cd-1099","2006-03-08 19:50:37","CLICK","diary land members area","diaryland","q-1","0","","","http://www.diaryland.com","diary land members area","d-1099","9.0"
"1035_11","1035_11_qq-1","2006-03-09 15:36:14","QUERY","diaryland","diaryland","q-1","0","","","","","",""
"1035_11","1035_11_qq-1_serp","2006-03-09 15:36:14","SERP_VIEW","Viewed 10 results: diary land members area, diary land members area, diary land members area (+7 more)","diaryland","q-1","0","[{""doc_index"": ""d-440399"", ""url"": ""http://groovy-decay.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-562364"", ""url"": ""http://secretus.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-944748"", ""url"": ""http://missprint.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-46840"", ""url"": ""http://fsdesigns.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-62632"", ""url"": ""http://bratzfanlist.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-487601"", ""url"": ""http://vjkao.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-367856"", ""url"": ""http://gothamite.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-668743"", ""url"": ""http://painguin14.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-310799"", ""url"": ""http://xtremex.diaryland.com"", ""title"": ""diary land members area""}, {""doc_index"": ""d-1099"", ""url"": ""http://www.diaryland.com"", ""title"": ""diary land members area""}]","10.0","","","",""
"1035_11","1035_11_qq-1_cd-1099","2006-03-09 15:36:14","CLICK","diary land members area","diaryland","q-1","0","","","http://www.diaryland.com","diary land members area","d-1099","9.0"
"1035_12","1035_12_qq-2","2006-03-09 16:58:18","QUERY","spanish english dictionary online","spanish english dictionary online","q-2","0","","","","","",""
